DATE,BOGZ1FA896130061Q
2015-01-01,341802.0
2015-04-01,349979.0
2015-07-01,352660.0
2015-10-01,350604.0
2016-01-01,357475.0
2016-04-01,366970.0
2016-07-01,375266.0
2016-10-01,387960.0
2017-01-01,392617.0
2017-04-01,406610.0
2017-07-01,428589.0
2017-10-01,441628.0
2018-01-01,462589.0
2018-04-01,478684.0
2018-07-01,496118.0
2018-10-01,511922.0
2019-01-01,520368.0
2019-04-01,521306.0
2019-07-01,519843.0
2019-10-01,501241.0
2020-01-01,475428.0
2020-04-01,427121.0
2020-07-01,411772.0
2020-10-01,367781.0
