DATE,A053RC1Q027SBEA
1947-01-01,33.466
1947-04-01,31.668
1947-07-01,31.288
1947-10-01,34.123
1948-01-01,35.747
1948-04-01,37.589
1948-07-01,36.959
1948-10-01,35.712
1949-01-01,32.519
1949-04-01,28.692
1949-07-01,29.752
1949-10-01,29.205
1950-01-01,33.477
1950-04-01,39.923
1950-07-01,48.501
1950-10-01,53.221
1951-01-01,52.393
1951-04-01,44.593
1951-07-01,40.666
1951-10-01,43.868
1952-01-01,41.59
1952-04-01,39.667
1952-07-01,39.898
1952-10-01,43.972
1953-01-01,45.893
1953-04-01,46.034
1953-07-01,45.077
1953-10-01,35.591
1954-01-01,38.019
1954-04-01,39.141
1954-07-01,41.473
1954-10-01,44.539
1955-01-01,49.715
1955-04-01,50.444
1955-07-01,51.731
1955-10-01,53.871
1956-01-01,52.285
1956-04-01,53.542
1956-07-01,50.939
1956-10-01,53.735
1957-01-01,54.518
1957-04-01,52.239
1957-07-01,51.138
1957-10-01,46.878
1958-01-01,40.564
1958-04-01,41.276
1958-07-01,45.972
1958-10-01,52.306
1959-01-01,55.502
1959-04-01,60.398
1959-07-01,54.549
1959-10-01,53.368
1960-01-01,58.778
1960-04-01,54.428
1960-07-01,52.155
1960-10-01,50.05
1961-01-01,49.179
1961-04-01,52.095
1961-07-01,55.033
1961-10-01,59.311
1962-01-01,58.34
1962-04-01,58.026
1962-07-01,59.757
1962-10-01,60.694
1963-01-01,60.428
1963-04-01,64.064
1963-07-01,65.769
1963-10-01,67.404
1964-01-01,70.805
1964-04-01,70.797
1964-07-01,72.492
1964-10-01,71.69
1965-01-01,79.043
1965-04-01,81.806
1965-07-01,83.277
1965-10-01,88.313
1966-01-01,90.826
1966-04-01,91.204
1966-07-01,90.553
1966-10-01,88.953
1967-01-01,85.784
1967-04-01,85.602
1967-07-01,87.148
1967-10-01,91.881
1968-01-01,95.276
1968-04-01,97.59
1968-07-01,98.14
1968-10-01,100.619
1969-01-01,100.694
1969-04-01,97.803
1969-07-01,94.702
1969-10-01,93.411
1970-01-01,86.399
1970-04-01,86.35
1970-07-01,88.276
1970-10-01,84.026
1971-01-01,94.536
1971-04-01,97.736
1971-07-01,101.096
1971-10-01,103.715
1972-01-01,109.925
1972-04-01,111.285
1972-07-01,115.772
1972-10-01,126.556
1973-01-01,141.563
1973-04-01,145.069
1973-07-01,145.145
1973-10-01,152.745
1974-01-01,157.26
1974-04-01,162.207
1974-07-01,172.572
1974-10-01,154.068
1975-01-01,133.019
1975-04-01,140.826
1975-07-01,167.855
1975-10-01,177.391
1976-01-01,193.546
1976-04-01,195.931
1976-07-01,197.82
1976-10-01,197.559
1977-01-01,212.751
1977-04-01,227.171
1977-07-01,235.983
1977-10-01,238.067
1978-01-01,238.131
1978-04-01,270.75
1978-07-01,277.887
1978-10-01,294.871
1979-01-01,294.422
1979-04-01,303.013
1979-07-01,306.828
1979-10-01,300.304
1980-01-01,308.632
1980-04-01,259.646
1980-07-01,274.406
1980-10-01,288.347
1981-01-01,291.311
1981-04-01,270.691
1981-07-01,278.516
1981-10-01,265.981
1982-01-01,234.08
1982-04-01,238.1
1982-07-01,233.94
1982-10-01,223.19
1983-01-01,226.41
1983-04-01,260.694
1983-07-01,280.503
1983-10-01,287.942
1984-01-01,308.544
1984-04-01,308.101
1984-07-01,287.037
1984-10-01,289.279
1985-01-01,285.28
1985-04-01,284.662
1985-07-01,294.63
1985-10-01,294.025
1986-01-01,264.68
1986-04-01,261.373
1986-07-01,261.503
1986-10-01,277.22
1987-01-01,289.374
1987-04-01,330.457
1987-07-01,350.053
1987-10-01,353.278
1988-01-01,362.23
1988-04-01,385.181
1988-07-01,393.782
1988-10-01,412.231
1989-01-01,412.27
1989-04-01,391.61
1989-07-01,376.843
1989-10-01,376.892
1990-01-01,385.623
1990-04-01,404.009
1990-07-01,413.339
1990-10-01,413.234
1991-01-01,423.45
1991-04-01,425.449
1991-07-01,431.732
1991-10-01,436.638
1992-01-01,459.017
1992-04-01,473.119
1992-07-01,451.034
1992-10-01,467.072
1993-01-01,470.684
1993-04-01,497.402
1993-07-01,502.315
1993-10-01,553.377
1994-01-01,560.915
1994-04-01,582.456
1994-07-01,619.929
1994-10-01,643.516
1995-01-01,662.349
1995-04-01,682.223
1995-07-01,696.765
1995-10-01,699.668
1996-01-01,726.619
1996-04-01,740.315
1996-07-01,736.36
1996-10-01,751.667
1997-01-01,764.966
1997-04-01,787.741
1997-07-01,821.463
1997-10-01,813.375
1998-01-01,736.753
1998-04-01,731.17
1998-07-01,733.218
1998-10-01,711.168
1999-01-01,749.51
1999-04-01,761.403
1999-07-01,764.385
1999-10-01,788.155
2000-01-01,770.883
2000-04-01,761.52
2000-07-01,736.092
2000-10-01,717.789
2001-01-01,717.433
2001-04-01,734.373
2001-07-01,668.439
2001-10-01,635.928
2002-01-01,685.452
2002-04-01,749.824
2002-07-01,813.945
2002-10-01,904.966
2003-01-01,921.467
2003-04-01,919.833
2003-07-01,981.564
2003-10-01,1057.618
2004-01-01,1179.638
2004-04-01,1239.285
2004-07-01,1302.93
2004-10-01,1308.967
2005-01-01,1604.404
2005-04-01,1616.546
2005-07-01,1667.23
2005-10-01,1772.577
2006-01-01,1809.292
2006-04-01,1857.786
2006-07-01,1896.081
2006-10-01,1813.484
2007-01-01,1744.562
2007-04-01,1814.11
2007-07-01,1722.347
2007-10-01,1726.757
2008-01-01,1558.756
2008-04-01,1570.559
2008-07-01,1496.693
2008-10-01,891.223
2009-01-01,1254.684
2009-04-01,1356.958
2009-07-01,1553.371
2009-10-01,1704.953
2010-01-01,1786.945
2010-04-01,1779.315
2010-07-01,1879.334
2010-10-01,1890.461
2011-01-01,1749.344
2011-04-01,1814.197
2011-07-01,1795.846
2011-10-01,1913.534
2012-01-01,2199.909
2012-04-01,2135.981
2012-07-01,2160.051
2012-10-01,2128.47
2013-01-01,2127.093
2013-04-01,2114.721
2013-07-01,2157.51
2013-10-01,2206.766
2014-01-01,2171.327
2014-04-01,2290.948
2014-07-01,2315.635
2014-10-01,2279.979
2015-01-01,2185.428
2015-04-01,2208.945
2015-07-01,2123.057
2015-10-01,1995.626
2016-01-01,2059.355
2016-04-01,2128.449
2016-07-01,2132.103
2016-10-01,2180.163
2017-01-01,2212.399
2017-04-01,2205.061
2017-07-01,2256.509
2017-10-01,2058.853
2018-01-01,2155.961
2018-04-01,2185.285
2018-07-01,2195.733
2018-10-01,2209.692
2019-01-01,2188.925
2019-04-01,2243.806
2019-07-01,2203.38
2019-10-01,2313.064
2020-01-01,1994.653
2020-04-01,1793.842
2020-07-01,2426.105
2020-10-01,2425.326
